Combine,population
"Dunseith, ND",773
"Mylo, ND",20
"Antler, ND",27
"Bottineau, ND",2211
"Gardena, ND",29
"Kramer, ND",29
"Landa, ND",38
"Lansford, ND",245
"Maxbass, ND",84
"Newburg, ND",110
"Overly, ND",18
"Canton City, ND",45
"Crystal, ND",138
"Drayton, ND",824
"Hamilton, ND",61
"Mountain, ND",92
"Neche, ND",371
"Pembina, ND",592
"Cando, ND",1115
"Egeland, ND",28
"Hansboro, ND",12
"Perth, ND",9
"Rocklake, ND",101
"Alsen, ND",35
"Calio, ND",22
"Calvin, ND",20
"Hannah, ND",15
"Langdon, ND",1878
"Loma, ND",16
"Milton, ND",58
"Munich, ND",210
"Nekoma, ND",50
"Osnabrock, ND",134
"Ambrose, ND",26
"Crosby, ND",1070
"Fortuna, ND",22
"Noonan, ND",121
"Bowbells, ND",336
"Flaxton, ND",66
"Lignite, ND",155
"Portal, ND",126
"Powers Lake, ND",280
"Glenburn, ND",380
"Grano, ND",7
"Loraine, ND",9
"Mohall, ND",783
"Burlington, ND",1060
"Carpio, ND",157
"Des Lacs, ND",204
"Donnybrook, ND",59
"Douglas, ND",64
"Kenmare, ND",1096
"Makoti, ND",154
"Minot, ND",40888
"Alamo, ND",57
"Epping, ND",100
"Grenora, ND",244
"Ray, ND",592
"Anamoose, ND",227
"Upham, ND",130
"Velva, ND",1084
"Voltaire, ND",40
"Deering, ND",98
"Drake, ND",275
"Granville, ND",241
"Karlsruhe, ND",82
"Kief, ND",13
"New Town, ND",1925
"Palermo, ND",74
"Parshall, ND",903
"Plaza, ND",171
"Brocket, ND",57
"Crary, ND",142
"Edmore, ND",182
"Hampden, ND",48
"Lawton, ND",30
"Ardoch, ND",67
"Edinburg, ND",196
"Fairdale, ND",38
"Fordville, ND",212
"Forest River, ND",125
"Grafton, ND",4284
"Hoople, ND",242
"Lankin, ND",98
"Minto, ND",604
"Park River, ND",1403
"Pisek, ND",106
"Brinsmade, ND",35
"Esmond, ND",100
"Knox, ND",25
"Leeds, ND",427
"Maddock, ND",382
"Minnewaukan, ND",224
"Oberon, ND",105
"Aneta, ND",222
"Lakota, ND",672
"McVille, ND",349
"Pekin, ND",70
"Petersburg, ND",192
"Emerado, ND",414
"Gilby, ND",237
"Grand Forks, ND",52838
"Inkster, ND",50
"Larimore, ND",1346
"Manvel, ND",360
"Niagara, ND",53
"Northwood, ND",945
"Reynolds, ND",301
"Alexander, ND",223
"Arnegard, ND",115
"Butte, ND",68
"Garrison, ND",1453
"Max, ND",334
"Mercer, ND",94
"Riverdale, ND",205
"New Rockford, ND",1391
"Bowdon, ND",131
"Fessenden, ND",479
"Hamberg, ND",21
"Harvey, ND",1783
"Hurdsfield, ND",84
"Goodrich, ND",98
"McClusky, ND",380
"Martin, ND",78
"Dodge, ND",87
"Dunn Center, ND",146
"Halliday, ND",188
"Killdeer, ND",751
"Finley, ND",445
"Hope, ND",258
"Luverne, ND",31
"Hannaford, ND",131
"Buxton, ND",323
"Galesburg, ND",108
"Hatton, ND",777
"Hillsboro, ND",1603
"Mayville, ND",1858
"Portland, ND",606
"Carrington, ND",2065
"Glenfield, ND",91
"Grace City, ND",63
"McHenry, ND",56
"Golden Valley, ND",182
"Hazen, ND",2411
"Pick City, ND",123
"Caribou, ME",8189
"Presque Isle, ME",9692
"Medora, ND",112
"Golva, ND",61
"Dawson, ND",61
"Pettibone, ND",70
"Robinson, ND",37
"Buchanan, ND",90
"Jamestown, ND",15427
"Kensal, ND",163
"Medina, ND",308
"Montpelier, ND",87
"Pingree, ND",60
"Lincoln, ND",2406
"Regan, ND",43
"Valley City, ND",6585
"Dazey, ND",104
"Fingal, ND",97
"Kathryn, ND",52
"Leal, ND",20
"Litchville, ND",172
"Nome, ND",62
"Oriska, ND",118
"Pillsbury, ND",12
"Alice, ND",40
"Amenia, ND",94
"Argusville, ND",475
"Arthur, ND",337
"Briarwood, ND",73
"Buffalo, ND",188
"Casselton, ND",2329
"Davenport, ND",252
"Fargo, ND",105549
"Frontier, ND",214
